日期,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2008-12-08,2008-12-08,6.36,6.52,6.53,6.2,1599579,1498232958.0,5.29,4.49,0.28,10.5
2008-12-09,2008-12-09,6.52,6.06,6.53,6.03,1212219,1117685382.0,7.67,-7.06,-0.46,7.96
2008-12-10,2008-12-10,5.95,6.33,6.43,5.88,1378767,1263150068.0,9.08,4.46,0.27,9.05
2008-12-11,2008-12-11,6.29,5.9,6.29,5.88,1023176,925695998.0,6.48,-6.79,-0.43,6.72
2008-12-12,2008-12-12,5.74,5.33,5.85,5.23,869443,741474504.0,10.51,-9.66,-0.57,5.71
2008-12-15,2008-12-15,5.42,5.19,5.49,5.0,726879,597523950.0,9.19,-2.63,-0.14,4.77
2008-12-16,2008-12-16,5.14,6.01,6.01,4.93,1443395,1239596374.0,20.81,15.8,0.82,9.48
2008-12-17,2008-12-17,5.83,5.7,6.0,5.56,1453909,1273512394.0,7.32,-5.16,-0.31,9.55
2008-12-18,2008-12-18,5.54,5.44,5.54,5.28,1149945,965436549.0,4.56,-4.56,-0.26,7.55
2008-12-19,2008-12-19,5.35,5.51,5.81,5.35,1430777,1221413748.0,8.46,1.29,0.07,9.39
2008-12-22,2008-12-22,5.54,5.44,5.68,5.38,1021546,865543349.0,5.44,-1.27,-0.07,6.07
2008-12-23,2008-12-23,5.33,4.77,5.33,4.74,1157912,926185797.0,10.85,-12.32,-0.67,6.88
2008-12-24,2008-12-24,4.55,4.25,4.57,4.19,909600,671162181.0,7.97,-10.9,-0.52,5.4
2008-12-25,2008-12-25,4.21,4.5,4.61,4.21,924887,685619596.0,9.41,5.88,0.25,5.5
2008-12-26,2008-12-26,4.39,4.78,5.14,4.25,1447799,1120289054.0,19.78,6.22,0.28,8.6
2008-12-29,2008-12-29,5.33,5.17,5.56,5.06,2627446,2169631961.0,10.46,8.16,0.39,7.0
2008-12-30,2008-12-30,5.08,5.35,5.49,5.04,1282110,1063014014.0,8.7,3.48,0.18,3.42
2008-12-31,2008-12-31,5.43,5.14,5.43,5.13,812222,672218912.0,5.61,-3.93,-0.21,2.16
2009-01-05,2009-01-05,5.28,5.84,5.91,5.2,2135690,1801065508.0,13.81,13.62,0.7,5.69
2009-01-06,2009-01-06,5.73,6.07,6.28,5.71,1914463,1713575011.0,9.76,3.94,0.23,5.1
2009-01-07,2009-01-07,6.02,6.07,6.26,5.98,1303086,1184323821.0,4.61,0.0,0.0,3.47
