,date,open,close,high,low,volume,code
198,2021-11-01,11.99,12.25,12.33,11.99,723039.0,600837
199,2021-11-02,12.21,12.09,12.26,11.95,615928.0,600837
200,2021-11-03,12.04,12.15,12.21,11.99,508272.0,600837
201,2021-11-04,12.18,12.08,12.28,12.06,400299.0,600837
202,2021-11-05,12.02,12.06,12.17,11.98,348743.0,600837
203,2021-11-08,12.08,12.13,12.23,12.02,336291.0,600837
204,2021-11-09,12.18,12.29,12.31,12.13,453104.0,600837
205,2021-11-10,12.24,12.18,12.3,12.07,440863.0,600837
206,2021-11-11,12.15,12.36,12.39,12.14,755331.0,600837
207,2021-11-12,12.36,12.33,12.36,12.22,462938.0,600837
208,2021-11-15,12.3,12.25,12.37,12.19,384537.0,600837
209,2021-11-16,12.24,12.11,12.3,12.08,410618.0,600837
210,2021-11-17,12.09,12.03,12.2,12.02,374691.0,600837
211,2021-11-18,12.01,11.84,12.03,11.84,435342.0,600837
212,2021-11-19,11.81,11.98,12.04,11.81,454670.0,600837
213,2021-11-22,11.95,11.93,12.03,11.88,400135.0,600837
214,2021-11-23,11.92,11.92,12.08,11.9,517320.0,600837
215,2021-11-24,11.92,11.87,11.96,11.85,388397.0,600837
216,2021-11-25,11.88,11.74,11.9,11.73,534314.0,600837
217,2021-11-26,11.72,11.65,11.74,11.65,422231.0,600837
218,2021-11-29,11.54,11.55,11.61,11.5,414659.0,600837
219,2021-11-30,11.58,11.53,11.64,11.51,307832.0,600837
220,2021-12-01,11.51,11.62,11.64,11.5,380770.0,600837
221,2021-12-02,11.6,11.69,11.75,11.59,428189.0,600837
222,2021-12-03,11.66,11.69,11.75,11.61,332769.0,600837
223,2021-12-06,11.75,11.77,12.06,11.7,1028479.0,600837
224,2021-12-07,11.86,11.8,11.88,11.67,664888.0,600837
225,2021-12-08,11.83,11.84,11.88,11.75,549348.0,600837
226,2021-12-09,11.83,12.02,12.13,11.81,1113481.0,600837
227,2021-12-10,11.95,11.9,12.01,11.88,721555.0,600837
228,2021-12-13,12.07,11.85,12.15,11.84,929078.0,600837
229,2021-12-14,11.82,11.82,11.87,11.78,457364.0,600837
230,2021-12-15,11.82,11.85,11.92,11.8,391484.0,600837
231,2021-12-16,11.85,11.92,11.93,11.83,391679.0,600837
232,2021-12-17,11.93,11.94,12.04,11.9,670453.0,600837
233,2021-12-20,11.89,11.84,12.0,11.83,507681.0,600837
234,2021-12-21,11.83,11.92,11.94,11.81,453941.0,600837
235,2021-12-22,11.94,11.83,11.95,11.83,349058.0,600837
236,2021-12-23,11.85,11.86,11.89,11.81,319954.0,600837
237,2021-12-24,11.85,11.76,11.88,11.75,315828.0,600837
238,2021-12-27,11.75,11.81,11.84,11.75,215332.0,600837
239,2021-12-28,11.84,11.87,11.89,11.77,383999.0,600837
240,2021-12-29,11.87,11.86,11.9,11.82,265287.0,600837
241,2021-12-30,11.83,11.93,12.0,11.83,472312.0,600837
242,2021-12-31,11.99,11.96,12.03,11.94,370912.0,600837
243,2022-01-04,11.96,12.03,12.09,11.91,584260.0,600837
