日期,Open,Close,High,Low,Volume,成交额,振幅,涨跌幅,涨跌额,换手率,openinterest
2019-01-02,7.82,7.78,7.83,7.67,263797,230063809.0,2.05,-0.51,-0.04,0.33,0
2019-01-03,7.77,7.96,8.22,7.77,509136,457297088.0,5.78,2.31,0.18,0.63,0
2019-01-04,7.85,8.59,8.76,7.83,994661,932509968.0,11.68,7.91,0.63,1.23,0
2019-01-07,8.52,8.62,8.74,8.52,697352,670426624.0,2.56,0.35,0.03,0.86,0
2019-01-08,8.59,8.57,8.77,8.48,599873,573876688.0,3.36,-0.58,-0.05,0.74,0
2019-01-09,8.57,8.7,8.85,8.56,828311,804555728.0,3.38,1.52,0.13,1.02,0
2019-01-10,8.67,8.52,8.76,8.5,381844,366809680.0,2.99,-2.07,-0.18,0.47,0
2019-01-11,8.52,8.58,8.65,8.49,325991,311015760.0,1.88,0.7,0.06,0.4,0
2019-01-14,8.63,8.61,8.78,8.56,390495,376554704.0,2.56,0.35,0.03,0.48,0
2019-01-15,8.61,8.88,8.94,8.6,673866,660542928.0,3.95,3.14,0.27,0.83,0
2019-01-16,8.87,8.81,8.92,8.77,363706,357456816.0,1.69,-0.79,-0.07,0.45,0
2019-01-17,8.83,8.73,8.94,8.72,320088,313418304.0,2.5,-0.91,-0.08,0.4,0
2019-01-18,8.75,8.87,8.92,8.7,434634,425880912.0,2.52,1.6,0.14,0.54,0
2019-01-21,8.86,8.88,9.0,8.76,534537,527516960.0,2.71,0.11,0.01,0.66,0
2019-01-22,8.87,8.67,8.89,8.67,329538,321242960.0,2.48,-2.36,-0.21,0.41,0
2019-01-23,8.64,8.72,8.78,8.64,169397,164273827.0,1.61,0.58,0.05,0.21,0
2019-01-24,8.74,8.93,9.07,8.74,491684,487057840.0,3.78,2.41,0.21,0.61,0
2019-01-25,8.93,9.08,9.22,8.93,702514,707933808.0,3.25,1.68,0.15,0.87,0
2019-01-28,9.18,9.05,9.42,8.95,528647,536706896.0,5.18,-0.33,-0.03,0.65,0
2019-01-29,8.94,9.01,9.17,8.82,429062,427599408.0,3.87,-0.44,-0.04,0.53,0
2019-01-30,8.93,8.88,9.06,8.82,322552,320167776.0,2.66,-1.44,-0.13,0.4,0
2019-01-31,8.92,9.1,9.16,8.88,466797,468575088.0,3.15,2.48,0.22,0.58,0
2019-02-01,9.26,9.31,9.33,9.11,639426,653001488.0,2.42,2.31,0.21,0.79,0
2019-02-11,9.25,9.66,9.68,9.22,577440,605302192.0,4.94,3.76,0.35,0.71,0
2019-02-12,9.64,9.88,9.98,9.54,642617,692422864.0,4.55,2.28,0.22,0.79,0
2019-02-13,9.88,10.25,10.33,9.76,855042,948153840.0,5.77,3.74,0.37,1.06,0
2019-02-14,10.18,10.18,10.31,10.02,531858,593363392.0,2.83,-0.68,-0.07,0.66,0
2019-02-15,10.12,9.84,10.17,9.79,625723,685108000.0,3.73,-3.34,-0.34,0.77,0
2019-02-18,9.94,10.43,10.53,9.92,1050671,1178273584.0,6.2,6.0,0.59,1.3,0
2019-02-19,10.49,10.58,10.96,10.36,1052793,1222522080.0,5.75,1.44,0.15,1.3,0
2019-02-20,10.57,10.59,10.72,10.41,594447,684873808.0,2.93,0.09,0.01,0.73,0
2019-02-21,10.51,10.66,11.33,10.43,1023376,1202792560.0,8.5,0.66,0.07,1.26,0
2019-02-22,10.81,11.73,11.8,10.57,1778023,2160396848.0,11.54,10.04,1.07,2.2,0
2019-02-25,12.18,13.0,13.0,11.83,2714745,3665906336.0,9.97,10.83,1.27,3.35,0
2019-02-26,13.14,12.49,13.5,12.45,2502211,3487332576.0,8.08,-3.92,-0.51,3.09,0
2019-02-27,12.36,12.2,12.72,11.81,2019161,2671880720.0,7.29,-2.32,-0.29,2.5,0
2019-02-28,12.1,11.73,12.1,11.56,1244066,1590032464.0,4.43,-3.85,-0.47,1.54,0
2019-03-01,11.87,12.04,12.22,11.65,1304994,1684072096.0,4.86,2.64,0.31,1.61,0
2019-03-04,12.16,12.09,12.82,11.92,2111948,2797538016.0,7.48,0.42,0.05,2.61,0
2019-03-05,11.94,12.05,12.13,11.8,1177639,1522739712.0,2.73,-0.33,-0.04,1.46,0
2019-03-06,12.1,12.48,12.82,11.82,2633803,3476009488.0,8.3,3.57,0.43,3.25,0
2019-03-07,13.12,13.83,13.83,12.77,5176460,7482787840.0,8.49,10.82,1.35,6.4,0
2019-03-08,13.29,13.33,14.15,13.06,4490399,6555393536.0,7.88,-3.62,-0.5,5.55,0
2019-03-11,13.58,13.39,14.12,13.0,3287502,4753575424.0,8.4,0.45,0.06,4.06,0
